audio_path,category
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat002.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat014.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat017.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat024.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat029.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat033.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat043.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat047.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat054.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat062.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat065.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat070.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat077.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat085.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat088.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat094.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat100.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat105.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat113.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/clearthroat115.wav,throatclearing+clearthroat
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam001.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam002.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam004.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam005.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam006.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam007.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam008.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam009.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam010.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam011.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam012.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam013.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam014.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam015.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam016.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam017.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam018.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam021.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam022.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/doorslam023.wav,doorslam
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer001.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer002.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer005.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer007.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer008.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer010.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer012.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer017.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer022.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer023.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer027.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer029.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer032.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer034.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer040.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer047.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer050.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer053.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer072.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/drawer076.wav,drawer
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop001.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop002.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop003.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop004.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop006.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop008.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop014.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop016.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop017.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop020.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop021.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop022.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop024.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop026.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop027.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop028.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop029.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop030.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop031.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/keysDrop072.wav,keysDrop
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn002.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn005.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn018.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn021.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn024.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn031.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn033.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn036.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn037.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn040.wav,pageturn
/Users/jerryabuayoub/Desktop/matcher/Datasets/DECASE2016/dcase2016_task2_train_dev/dcase2016_task2_train/pageturn044.wav,pageturn
